AUD,CAD,CHF,DKK,GBP,JPY,NOK,NZD,PLN,SEK,USDNEXTD
16.256,15.199,11.199,74.578,8.94,128.32,97.646,17.677,43.143,104.652,11.571
16.146,15.272,11.218,74.553,8.986,128.72,97.882,17.636,43.224,105.839,11.481
16.17,15.326,11.302,74.553,9.011,129.71,97.645,17.645,43.252,105.3,11.439
16.132,15.274,11.286,74.546,9.009,129.09,97.205,17.666,43.106,105.247,11.377
16.114,15.218,11.267,74.577,9.031,129.12,97.113,17.61,42.942,105.737,11.345
16.134,15.151,11.246,74.549,8.976,128.91,97.36,17.556,43.024,106.143,11.344
16.132,15.128,11.241,74.553,8.951,128.87,97.318,17.516,43.033,106.154,11.409
16.06,15.148,11.311,74.559,8.969,129.53,97.394,17.531,42.989,106.426,11.411
16.016,15.108,11.363,74.576,8.988,130.75,97.539,17.429,42.876,106.984,11.527
15.938,15.123,11.419,74.573,9.082,130.04,97.562,17.432,42.718,106.878,11.611
15.883,15.144,11.442,74.581,9.058,129.72,97.202,17.441,42.711,106.195,11.599
15.859,15.151,11.439,74.594,9.057,129.61,96.925,17.38,42.773,106.046,11.554
15.857,15.14,11.429,74.593,9.042,129.29,96.803,17.367,42.766,106.084,11.567
15.916,15.096,11.38,74.577,9.003,128.43,96.786,17.388,42.9,105.51,11.584
15.784,15.072,11.4,74.592,8.982,128.21,96.74,17.316,42.707,105.132,11.66
15.699,15.084,11.401,74.599,8.969,127.63,97.247,17.291,42.922,105.234,11.691
15.642,14.98,11.384,74.58,8.972,126.38,96.972,17.291,43.083,105.109,11.706
15.65,14.938,11.385,74.57,8.972,126.37,96.706,17.268,43.02,104.726,11.658
15.636,14.936,11.389,74.566,8.969,126.39,96.694,17.229,42.926,104.679,11.643
15.669,14.964,11.341,74.569,8.944,126.17,96.438,17.269,43.046,104.553,11.728
15.671,14.909,11.273,74.55,8.934,125.64,95.914,17.281,43.212,104.433,11.686
15.658,14.811,11.279,74.548,8.915,126.09,95.474,17.259,43.017,103.729,11.692
15.696,14.984,11.334,74.528,8.935,126.33,95.417,17.342,43.015,104.027,11.72
15.636,14.983,11.332,74.535,8.93,126.06,95.355,17.306,42.918,104.165,11.643
15.631,14.998,11.359,74.538,8.937,126.59,95.444,17.34,42.923,104.09,11.639
15.636,15.043,11.451,74.551,8.989,128.05,95.895,17.431,42.773,103.839,11.661
15.623,15.121,11.533,74.556,9.013,128.87,95.413,17.209,42.644,103.908,11.71
15.63,15.14,11.546,74.531,8.964,129.2,95.144,17.222,42.592,103.419,11.685
15.64,15.024,11.514,74.524,8.926,128.71,95.329,17.16,42.589,103.265,11.672
15.636,15.046,11.5,74.528,8.892,128.61,95.513,17.146,42.58,103.149,11.674
15.632,15.026,11.502,74.533,8.893,128.71,95.502,17.155,42.618,103.122,11.744
15.739,15.086,11.529,74.521,8.899,129.34,95.48,17.152,42.742,103.021,11.751
15.748,15.163,11.568,74.52,8.883,130.27,95.337,17.169,42.611,102.689,11.747
15.739,15.207,11.578,74.518,8.907,130.8,95.366,17.149,42.763,102.796,11.691
15.805,15.26,11.569,74.485,8.913,130.01,95.223,17.157,42.705,102.452,11.656
15.759,15.232,11.591,74.491,8.893,129.36,95.494,17.161,42.851,103.014,11.657
15.75,15.217,11.594,74.491,8.891,129.45,95.454,17.171,42.85,103.062,11.641
15.781,15.221,11.575,74.519,8.881,129.5,95.351,17.162,42.893,102.595,11.685
15.733,15.301,11.634,74.523,8.892,130.16,95.415,17.154,42.967,102.705,11.569
15.747,15.372,11.611,74.52,8.89,129.94,95.578,17.183,43.036,103.028,11.554
15.84,15.402,11.604,74.504,8.923,130.18,95.817,17.23,43.271,103.583,11.647
15.798,15.404,11.635,74.527,8.931,130.39,95.825,17.216,43.204,103.877,11.704
15.788,15.412,11.634,74.507,8.923,130.57,95.867,17.213,43.186,103.776,11.657
15.821,15.45,11.634,74.523,8.946,130.94,95.87,17.259,43.387,103.78,11.603
15.731,15.328,11.625,74.53,8.903,131.36,95.086,17.13,43.076,103.189,11.572
15.781,15.381,11.663,74.549,8.891,131.64,95.074,17.19,42.975,103.088,11.59
15.78,15.381,11.672,74.518,8.848,131.5,94.861,17.278,43.021,103.339,11.623
15.743,15.366,11.705,74.541,8.829,131.26,94.847,17.268,43.125,103.867,11.609
15.74,15.38,11.706,74.546,8.83,131.31,94.83,17.273,43.143,103.808,11.569
15.756,15.354,11.701,74.576,8.839,131.4,94.636,17.206,43.233,103.537,11.791
15.846,15.417,11.625,74.539,8.84,130.77,94.664,17.275,43.421,102.997,11.745
15.745,15.398,11.65,74.536,8.846,130.35,94.148,17.175,43.186,102.646,11.784
15.737,15.405,11.652,74.542,8.863,130.26,94.307,17.19,43.126,102.539,11.768
15.802,15.39,11.627,74.533,8.84,129.78,94.344,17.193,43.535,102.491,11.799
15.803,15.367,11.628,74.524,8.842,129.75,94.33,17.171,43.548,102.473,11.773
15.826,15.354,11.611,74.524,8.839,129.33,94.247,17.231,43.52,102.488,11.718
15.79,15.321,11.572,74.521,8.81,128.78,94.537,17.239,43.826,102.45,11.699
15.782,15.316,11.569,74.511,8.836,128.92,94.808,17.257,43.967,102.929,11.661
15.854,15.348,11.565,74.516,8.856,129.07,95.124,17.331,43.997,104.354,11.692
15.785,15.355,11.566,74.511,8.842,129.32,95.249,17.227,43.643,104.528,11.663
15.781,15.345,11.577,74.513,8.847,129.33,95.168,17.27,43.724,104.558,11.54
15.731,15.324,11.54,74.534,8.846,127.83,94.732,17.124,43.631,104.346,11.623
